"행정구역","2023년01월_계_총인구수","2023년01월_계_연령구간인구수","2023년01월_계_0~9세","2023년01월_계_10~19세","2023년01월_계_20~29세","2023년01월_계_30~39세","2023년01월_계_40~49세","2023년01월_계_50~59세","2023년01월_계_60~69세","2023년01월_계_70~79세","2023년01월_계_80~89세","2023년01월_계_90~99세","2023년01월_계_100세 이상"
"서울특별시 용산구 한남동(1117068500)","19,427","19,427","1,086","1,109","2,341","3,662","3,129","3,060","2,721","1,436","777","105","1"
"서울특별시 용산구 서빙고동(1117069000)","12,573","12,573","677","1,400","1,654","1,390","2,221","2,213","1,589","718","611","97","3"
"서울특별시 용산구 보광동(1117070000)","12,720","12,720","324","639","1,934","2,023","1,747","2,265","2,034","1,090","584","79","1"
"서울특별시 성동구 (1120000000)","280,707","280,707","18,105","18,461","42,016","45,472","42,218","44,914","38,372","20,089","9,840","1,177","43"
"서울특별시 성동구 왕십리제2동(1120052000)","16,307","16,307","1,157","1,090","2,267","2,774","2,460","2,630","2,206","1,134","516","73","0"
"서울특별시 성동구 왕십리도선동(1120053500)","26,402","26,402","2,066","1,658","4,204","4,369","3,973","4,300","3,250","1,610","846","123","3"
"서울특별시 성동구 마장동(1120054000)","22,012","22,012","1,082","1,489","4,190","3,160","2,768","3,493","3,170","1,696","866","96","2"
"서울특별시 성동구 사근동(1120055000)","11,934","11,934","375","707","4,854","1,591","1,079","1,262","976","690","373","27","0"
"서울특별시 성동구 행당제1동(1120056000)","13,683","13,683","908","973","2,123","2,219","2,081","2,162","1,740","941","458","72","6"
"서울특별시 성동구 행당제2동(1120057000)","22,999","22,999","1,634","1,923","2,680","3,421","3,675","3,958","2,999","1,760","848","98","3"
"서울특별시 성동구 응봉동(1120058000)","15,027","15,027","1,031","1,542","1,722","2,029","2,711","2,460","1,779","1,108","580","63","2"
"서울특별시 성동구 금호1가동(1120059000)","15,024","15,024","1,156","1,078","1,600","2,345","2,559","2,321","2,178","1,140","574","71","2"
"서울특별시 성동구 금호2.3가동(1120061500)","22,228","22,228","1,630","1,300","2,581","3,867","3,604","3,544","3,076","1,663","846","109","8"
"서울특별시 성동구 금호4가동(1120062000)","14,155","14,155","1,238","942","1,371","2,339","2,580","2,120","1,915","1,077","512","57","4"
"서울특별시 성동구 옥수동(1120064500)","25,582","25,582","2,357","1,641","2,526","4,517","4,484","3,837","3,431","1,786","875","125","3"
"서울특별시 성동구 성수1가제1동(1120065000)","16,047","16,047","938","992","2,323","2,865","2,196","2,893","2,416","942","430","49","3"
"서울특별시 성동구 성수1가제2동(1120066000)","12,128","12,128","639","796","1,767","2,310","1,831","1,857","1,666","837","389","36","0"
"서울특별시 성동구 성수2가제1동(1120067000)","15,189","15,189","670","781","1,956","2,492","1,990","2,704","2,805","1,186","550","53","2"
"서울특별시 성동구 성수2가제3동(1120069000)","10,288","10,288","505","483","1,779","1,818","1,388","1,639","1,471","786","377","40","2"
"서울특별시 성동구 송정동(1120072000)","10,037","10,037","429","510","1,568","1,526","1,392","1,790","1,683","781","319","38","1"
"서울특별시 성동구 용답동(1120079000)","11,665","11,665","290","556","2,505","1,830","1,447","1,944","1,611","952","481","47","2"
"서울특별시 광진구 (1121500000)","337,258","337,258","16,299","24,471","60,025","54,683","49,127","53,249","44,848","22,772","10,441","1,301","42"
"서울특별시 광진구 화양동(1121571000)","23,431","23,431","330","705","10,383","4,662","2,105","2,019","1,694","992","475","65","1"
"서울특별시 광진구 군자동(1121573000)","19,424","19,424","716","977","4,293","3,641","2,540","2,672","2,528","1,367","624","63","3"
"서울특별시 광진구 중곡제1동(1121574000)","15,326","15,326","609","683","2,865","3,005","1,934","2,383","2,192","1,118","481","56","0"
"서울특별시 광진구 중곡제2동(1121575000)","20,979","20,979","906","1,299","3,453","3,782","2,891","3,410","3,017","1,533","612","74","2"
"서울특별시 광진구 중곡제3동(1121576000)","15,964","15,964","645","866","2,449","2,729","2,138","2,745","2,460","1,311","564","56","1"
"서울특별시 광진구 중곡제4동(1121577000)","27,967","27,967","1,129","1,740","4,059","4,048","3,722","5,176","4,633","2,383","974","99","4"
"서울특별시 광진구 능동(1121578000)","11,182","11,182","495","504","2,267","2,491","1,620","1,407","1,305","705","350","37","1"
"서울특별시 광진구 광장동(1121581000)","34,103","34,103","2,603","5,443","3,880","3,311","7,028","5,952","3,328","1,502","891","158","7"
"서울특별시 광진구 자양제1동(1121582000)","21,839","21,839","792","1,426","3,922","3,759","3,182","3,419","2,966","1,547","740","85","1"
"서울특별시 광진구 자양제2동(1121583000)","23,890","23,890","1,333","1,734","3,303","3,668","3,672","3,942","3,673","1,789","680","94","2"
"서울특별시 광진구 자양제3동(1121584000)","27,566","27,566","2,047","2,484","3,556","3,870","4,344","4,665","3,775","1,713","948","158","6"
"서울특별시 광진구 자양제4동(1121584700)","17,982","17,982","638","781","2,980","2,943","2,312","2,865","3,042","1,625","725","70","1"
"서울특별시 광진구 구의제1동(1121585000)","23,402","23,402","919","1,228","4,911","4,628","3,283","3,459","2,796","1,430","661","83","4"
"서울특별시 광진구 구의제2동(1121586000)","25,981","25,981","1,468","2,212","3,429","3,674","4,134","4,470","3,694","1,948","862","85","5"
"서울특별시 광진구 구의제3동(1121587000)","28,222","28,222","1,669","2,389","4,275","4,472","4,222","4,665","3,745","1,809","854","118","4"
"서울특별시 동대문구 (1123000000)","336,415","336,415","18,541","22,691","55,973","48,449","48,362","51,698","47,869","27,786","13,455","1,537","54"
"서울특별시 동대문구 용신동(1123053600)","34,620","34,620","1,615","1,657","6,546","6,288","4,823","4,960","4,665","2,567","1,351","144","4"
"서울특별시 동대문구 제기동(1123054500)","24,165","24,165","886","1,287","4,499","3,127","2,780","3,658","3,866","2,558","1,347","148","9"
"서울특별시 동대문구 전농제1동(1123056000)","28,677","28,677","1,618","1,762","4,420","3,972","4,008","4,734","4,342","2,463","1,216","134","8"
"서울특별시 동대문구 전농제2동(1123057000)","18,147","18,147","1,077","1,609","2,024","2,074","2,784","3,197","2,842","1,582","874","82","2"
"서울특별시 동대문구 답십리제1동(1123060000)","28,156","28,156","2,441","1,939","3,904","4,877","4,747","4,050","3,474","1,765","841","109","9"
"서울특별시 동대문구 답십리제2동(1123061000)","27,762","27,762","1,674","1,803","3,278","4,208","3,915","4,668","4,389","2,460","1,228","138","1"
"서울특별시 동대문구 장안제1동(1123065000)","38,039","38,039","2,234","2,570","5,056","6,175","6,234","5,863","5,590","3,026","1,155","126","10"
"서울특별시 동대문구 장안제2동(1123066000)","32,374","32,374","2,536","2,861","3,709","4,726","5,697","4,995","4,438","2,376","921","113","2"
"서울특별시 동대문구 청량리동(1123070500)","18,638","18,638","678","989","2,084","2,039","2,227","3,145","3,812","2,346","1,153","165","0"
"서울특별시 동대문구 회기동(1123071000)","10,505","10,505","350","670","3,485","1,481","1,243","1,190","989","631","410","54","2"
"서울특별시 동대문구 휘경제1동(1123072000)","13,928","13,928","742","767","3,703","2,147","1,650","1,900","1,521","973","466","57","2"
"서울특별시 동대문구 휘경제2동(1123073000)","23,816","23,816","1,018","1,953","5,516","2,828","3,265","3,522","2,995","1,802","825","90","2"
"서울특별시 동대문구 이문제1동(1123074000)","17,948","17,948","593","1,186","5,053","2,136","2,092","2,508","2,105","1,381","803","89","2"
"서울특별시 동대문구 이문제2동(1123075000)","19,640","19,640","1,079","1,638","2,696","2,371","2,897","3,308","2,841","1,856","865","88","1"
"서울특별시 중랑구 (1126000000)","385,097","385,097","20,222","24,784","52,047","57,672","54,628","65,615","62,208","32,098","14,064","1,709","50"
"서울특별시 중랑구 면목제2동(1126052000)","23,848","23,848","1,049","1,410","3,069","3,357","3,313","4,541","4,028","2,052","906","122","1"
"서울특별시 중랑구 면목제4동(1126054000)","18,459","18,459","923","1,174","2,277","2,500","2,819","3,198","2,975","1,809","708","74","2"
"서울특별시 중랑구 면목제5동(1126055000)","14,682","14,682","1,361","854","1,618","2,541","2,389","2,383","2,065","988","438","44","1"
"서울특별시 중랑구 면목본동(1126056500)","33,142","33,142","1,290","1,666","4,974","5,312","4,568","5,995","5,200","2,811","1,201","121","4"
"서울특별시 중랑구 면목제7동(1126057000)","21,469","21,469","1,080","1,110","2,853","3,229","2,989","3,663","3,665","2,004","765","110","1"
"서울특별시 중랑구 면목제3.8동(1126057500)","24,158","24,158","903","1,279","3,404","3,443","3,214","4,384","4,249","2,213","965","101","3"
"서울특별시 중랑구 상봉제1동(1126058000)","23,499","23,499","1,559","1,788","3,105","3,510","3,322","4,031","3,704","1,609","782","88","1"
"서울특별시 중랑구 상봉제2동(1126059000)","20,274","20,274","768","664","4,096","4,698","2,500","2,952","2,629","1,309","570","82","6"
"서울특별시 중랑구 중화제1동(1126060000)","19,099","19,099","1,002","1,216","2,464","3,102","2,638","3,018","3,252","1,691","655","60","1"
"서울특별시 중랑구 중화제2동(1126061000)","24,438","24,438","940","1,040","3,452","3,662","3,153","4,500","4,388","2,160","1,046","97","0"
"서울특별시 중랑구 묵제1동(1126062000)","34,081","34,081","1,884","2,999","4,866","4,549","5,358","5,547","4,881","2,678","1,184","131","4"
"서울특별시 중랑구 묵제2동(1126063000)","18,360","18,360","834","1,094","2,502","2,718","2,710","3,110","3,016","1,611","697","65","3"
"서울특별시 중랑구 망우본동(1126065500)","35,567","35,567","2,438","2,099","4,659","5,803","4,867","5,624","5,784","2,841","1,269","177","6"
"서울특별시 중랑구 망우제3동(1126066000)","15,927","15,927","611","936","2,103","1,936","2,040","3,124","2,919","1,524","623","109","2"
"서울특별시 중랑구 신내1동(1126068000)","38,099","38,099","2,499","3,873","4,426","4,581","5,810","6,186","6,066","3,021","1,417","212","8"
"서울특별시 중랑구 신내2동(1126069000)","19,995","19,995","1,081","1,582","2,179","2,731","2,938","3,359","3,387","1,777","838","116","7"
