번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자
1942,만돌이(움아1),"윤동주 지음, 김정민 그림",북극곰,2020,9.79117E+12,,,,,1,0,2021-02-09
1943,두 번째 집(움아1),이현주 지음,살림,2020,9.78895E+12,,,,,1,0,2021-02-09
1944,무슨 검정이게요?(움아1),김가희 지음,국민서관,2020,9.78891E+12,,,,,1,0,2021-02-09
1945,나를 나답게 만드는 것들,"빌 설리번 지음, 김성훈 옮김",브론스테인,2020,9.79114E+12,,,,,1,1,2021-02-09
1946,꽃들이 나에게 들려준 이야기 5,이재능 지음,신구문화사,2020,9.78898E+12,,,,,1,1,2021-02-09
1947,세상을 이해하는 52가지 방정식,"존 M. 헨쇼 지음, 이재경 옮김",반니,2020,9.79119E+12,,,,,1,1,2021-02-09
1948,블루의 과학,"카이 쿠퍼슈미트 지음, 문항심 옮김",반니,2020,9.79119E+12,,,,,1,1,2021-02-09
1949,세상을 연결한 여성들,"클레어 L. 에반스 지음, 조은영 옮김, 한국여성과총 교육출판위원회 기획",해나무,2020,9.79116E+12,,,,,1,0,2021-02-09
1950,수학대백과사전,"구라모토 다카후미 지음, 린커넥터 옮김",동양북스(동양문고),2020,9.79116E+12,,,,,1,1,2021-02-09
1951,실험실의 진화,"홍성욱 지음, 박한나 그림",김영사,2020,9.78893E+12,,,,,1,0,2021-02-09
1952,식물에게 배우는 네 글자,이선 지음,궁리,2020,9.78896E+12,,,,,1,1,2021-02-09
1953,잔혹한 진화론,"사라시나 이사오 지음, 황혜숙 옮김",까치(까치글방),2020,9.78897E+12,,,,,1,1,2021-02-09
1954,생명을 보는 마음,김성호 지음,풀빛,2020,9.79116E+12,,,,,1,0,2021-02-09
1955,"과학에 더 가까이, 탐험","제니 오스먼 지음, 김지원 옮김",이케이북,2020,9.79119E+12,,,,,1,1,2021-02-09
1956,우리 땅 돌 이야기,이승배 지음,나무나무,2020,9.789E+12,,,,,1,0,2021-02-09
1957,다양성을 엮다,강호정 지음,이음,2020,9.79119E+12,,,,,1,0,2021-02-09
1958,나의 대답은 오직 과학입니다,"닐 디그래스 타이슨 지음, 배지은 옮김",반니,2020,9.79119E+12,,,,,1,1,2021-02-09
1959,수학 개념 따라잡기 : 통계의 핵심,"Newton Press 지음, 김서현 옮김, 곤노 노리오 감수",청어람e(청어람미디어),2020,9.79116E+12,,,,,1,1,2021-02-09
1960,수학 개념 따라잡기 : 확률의 핵심,"Newton Press 지음, 이선주 옮김, 곤노 노리오 감수",청어람e(청어람미디어),2020,9.79116E+12,,,,,1,1,2021-02-09
1961,수학 개념 따라잡기 : 로그의 핵심,"Newton Press 지음, 이선주 옮김, 곤노 노리오 감수",청어람e(청어람미디어),2020,9.79116E+12,,,,,1,1,2021-02-09
1962,수학 개념 따라잡기 : 삼각함수의 핵심,"Newton Press 지음, 김서현 옮김, 우에노 겐지",청어람e(청어람미디어),2020,9.79116E+12,,,,,1,1,2021-02-09
1963,수학 개념 따라잡기 : 미적분의 핵심,"Newton Press 지음, 이선주 옮김, 다카하시 슈유 감수",청어람e(청어람미디어),2020,9.79116E+12,,,,,1,1,2021-02-09
1964,나는 기린 해부학자입니다,"군지 메구 지음, 이재화 옮김, 최형선 감수",더숲,2020,9.79119E+12,,,,,1,0,2021-02-09
